date,temperature_max,temperature_min,temperature_mean,rain_sum,wind_speed,shortwave_radiation
2020-10-31,22.4405,10.4905,16.363417,0.0,9.565437,19.79
2020-11-01,25.3405,15.2405,20.067581,0.0,14.33234,19.46
2020-11-02,23.4905,15.540501,18.744667,0.0,16.24394,19.02
2020-11-03,23.0905,11.9905,17.40925,0.0,15.175612,19.22
2020-11-04,24.6905,12.8905,18.305084,0.0,14.372974,19.36
2020-11-05,25.3905,13.8905,19.186335,0.0,13.627795,18.9
2020-11-06,25.1905,14.4405,19.703001,0.0,14.24163,18.23
2020-11-07,25.9905,15.4905,20.107168,0.0,16.179985,18.09
2020-11-08,26.4905,13.590501,20.005085,0.0,12.10157,18.06
2020-11-09,28.040499,14.6405,21.328,0.0,11.525623,18.09
2020-11-10,30.8405,17.1905,23.16967,0.0,17.208603,17.95
2020-11-11,25.8405,19.3405,22.046751,0.5,8.854829,8.52
2020-11-12,24.790499,17.790499,21.0655,1.0,11.304229,7.31
2020-11-13,24.9905,19.1405,21.657167,1.0,12.594856,7.59
2020-11-14,28.3905,17.1405,21.738417,0.0,9.3669195,15.6
2020-11-15,25.4905,18.3905,22.421747,0.6,16.595179,14.33
2020-11-16,23.1905,13.790501,18.913416,0.0,12.979984,17.41
2020-11-17,22.5905,17.1405,19.292582,2.9,16.055353,8.58
2020-11-18,21.790499,14.540501,17.988415,0.0,13.797912,7.75
2020-11-19,24.290499,13.9405,18.530083,0.3,12.181624,12.59
2020-11-20,24.9905,14.6405,19.198837,0.0,12.7279215,16.19
2020-11-21,23.7405,15.790501,19.732168,0.2,15.546833,10.72
2020-11-22,22.9905,17.4905,19.982166,2.0000002,13.797912,9.45
2020-11-23,24.6905,16.3405,19.840502,0.5,15.856354,15.71
2020-11-24,28.9905,13.9905,20.725914,0.0,8.287822,16.68
2020-11-25,26.0905,17.6405,22.098833,0.0,15.2947035,16.09
2020-11-26,25.540499,16.3405,20.555084,0.0,7.42159,14.68
2020-11-27,27.9905,18.9905,23.005083,0.0,7.928178,15.62
2020-11-28,23.7405,15.1405,20.294668,1.5,10.931203,6.49
2020-11-29,21.3905,14.9405,17.378,0.70000005,9.3669195,12.47
2020-11-30,14.290501,8.790501,11.380082,0.0,12.313893,5.08
2020-12-01,16.4905,4.3405,10.636333,0.0,11.792404,16.3
2020-12-02,22.040499,8.8905,15.159249,0.0,14.512064,16.61
2020-12-03,12.1405,4.6405,8.886333,0.0,16.311613,16.52
2020-12-04,13.540501,3.4405,8.378001,0.0,14.003028,15.9
2020-12-05,13.4405,2.7905,8.190499,0.0,16.42247,14.34
2020-12-06,20.3405,7.3905,13.303,0.0,21.599998,15.65
2020-12-07,19.8905,9.3905,14.123836,0.0,8.891344,16.53
2020-12-08,20.4405,9.590501,15.394666,0.0,8.647496,15.02
2020-12-09,22.5905,11.1905,17.505085,0.0,8.759178,15.89
2020-12-10,23.540499,15.2405,18.765501,0.0,8.587338,15.47
2020-12-11,30.3905,14.4905,21.34675,0.0,18.218275,14.12
2020-12-12,24.8405,15.4405,20.213419,0.0,14.565548,13.38
2020-12-13,29.9405,13.6905,20.350916,0.0,24.26998,15.37
2020-12-14,14.290501,4.6405,9.996751,0.0,11.681987,14.71
2020-12-15,22.4905,1.3405,11.207166,0.0,9.504272,16.15
2020-12-16,16.8905,6.6405,11.978001,0.0,10.00256,16.17
2020-12-17,17.5905,5.7905,11.405084,0.0,15.978484,15.98
2020-12-18,19.290499,5.8405,12.0905,0.0,5.6233797,13.71
2020-12-19,26.1405,13.1905,19.115501,0.0,19.05281,15.77
2020-12-20,22.4405,10.9905,17.180082,0.0,6.763786,15.2
2020-12-21,21.5905,12.6405,17.009249,0.0,13.246826,15.08
2020-12-22,21.3405,11.9405,15.869666,0.0,7.69592,11.47
2020-12-23,28.290499,13.090501,20.45925,0.0,15.782622,15.53
2020-12-24,19.8905,6.1405,12.428001,0.0,26.208395,16.08
2020-12-25,16.540499,4.6405,10.5425825,0.0,8.669949,15.62
2020-12-26,17.8905,6.9405,12.3446665,0.0,6.4096174,16.08
2020-12-27,24.6405,13.090501,17.946749,0.0,7.771331,16.29
2020-12-28,23.5905,12.4405,17.611336,0.0,12.096214,15.94
2020-12-29,22.1905,11.7405,16.363417,0.2,11.119281,13.32
2020-12-30,25.1905,11.4405,17.48217,0.4,18.58451,15.7
2020-12-31,18.3405,8.4905,12.519668,6.6000004,26.61323,15.65
2021-01-01,11.1905,2.9405,6.7446666,0.0,11.298495,11.66
2021-01-02,16.9905,4.2905,10.255082,0.0,9.178235,16.36
2021-01-03,20.9905,7.1905,14.221749,0.0,7.145796,16.27
2021-01-04,24.7405,10.1905,17.548836,0.0,8.373386,16.73
2021-01-05,21.8405,13.3905,18.342583,0.0,11.726277,16.13
2021-01-06,27.1905,13.590501,18.067583,0.0,20.808498,11.42
2021-01-07,19.8905,9.6405,14.948833,0.0,10.948973,16.52
2021-01-08,17.5905,9.9405,13.482165,0.0,14.759999,16.87
2021-01-09,11.290501,8.0905,9.917584,6.2999997,9.565437,3.96
2021-01-10,17.3905,6.7405,9.930084,1.1000001,18.709612,14.49
2021-01-11,7.8405,3.7405,5.50925,1.8000002,7.5685663,6.75
2021-01-12,8.4405,0.9405,4.7134166,0.0,13.37825,11.9
2021-01-13,18.8905,3.2905,11.20925,0.0,8.714677,17.17
2021-01-14,27.040499,5.8905,16.036333,0.0,11.019764,17.78
2021-01-15,16.7405,7.7905,12.300919,0.0,9.793059,17.31
